STT,Questions,Entities,Grade,Unit,Assign,Check Done,Cypher Query,Query Type,Note,# Single-Single,# Single-Multi,# Multi-Single,# Multi-Multi,label,event_type
460,Sự kiện nổi bật nhất năm 1889 ở Nhật Bản là,"năm 1889 | Nhật Bản
thoi_gian | dia_diem",,,QuanPV,TRUE,"match (e:Event)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(a) where a.name = ""năm 1889""
match (e)-[:(dien_ra_o|thuoc)*]-(b) where b.name = ""Nhật Bản""
match path = (e)-[*0..1]-(y:Entity)
return path",single - multi,,,,,,3,
461,Ai là người đại diện phái chủ chiến chủ trương cùng nhân dân ta tiếp tục chiến đấu chống Pháp?,"phái chủ chiến | Pháp
to_chuc | to_chuc",,,LongLPH,TRUE,"match (e:Event)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(a) where a.name = ""phái chủ chiến""
match (e)-[:doi_tuong_bi_tan_cong]-(b) where b.name = ""Pháp""
match (e)-[:doi_tuong_lanh_dao]-(c)
return c",single - single,,,,,,1,
464,Trận đánh mở đầu chiến dịch Biên giới thu - đông năm 1950 của quân dân Việt Nam diễn ra ở,"chiến dịch Biên giới thu - đông | năm 1950 | Việt Nam
tran_chien | thoi_gian | dia_diem",,,HungTX,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name =  ""chiến dịch Biên giới thu - đông""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) where b.name=""năm 1950""
match (e)-[:(dien_ra_o|thuoc)*]-(c) where c.name = ""Việt Nam""
match (e)-[:SubEvent]-(e1:TranChien|ChienDich) where not (e1)<-[:NextEvent]-() and not (e1)-[:Causal]->()
match (e1)-[:(dien_ra_o|thuoc)*]-(d) 
return d",multi - single,,,,,,1,
484,Các nước sáng lập ASEAN,"ASEAN
to_chuc",,,LongLPH,TRUE,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""ASEAN""
match (e)-[:thanh_lap_boi]-(b)
return b",single - single,,,,,,14,
508,Cuộc cách mạng Tân Hợi (1911) đã lật đổ triều đại phong kiến nào ở Trung Quốc?,"Cuộc cách mạng Tân Hợi | 1911 | Trung Quốc
tran_chien | thoi_gian | dia_diem ",,,QuanPV,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Cuộc cách mạng Tân Hợi""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) where b.name = ""1911""
match (e)-[:(dien_ra_o|thuoc)*]-(c) where c.name = ""Trung Quốc""
match (e)-[:Result|ket_qua]->(e1)
match path=(e1)-[:NextEvent*0..]->()
with nodes(path) as l
match path=(x)-[*0..1]-(y:Entity) where x in l
return path",multi - multi,,,,,,2,
519,Nội dung nào sau đây phản ánh đúng ý nghĩa của Cách mạng Tân Hợi (1911) ở Trung Quốc?,"Cách mạng Tân Hợi | 1911 | Trung Quốc
tran_chien | thoi_gian | dia_diem",,,QuanPV,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Cách mạng Tân Hợi""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) where b.name = ""1911""
match (e)-[:(dien_ra_o|thuoc)*]-(c) where c.name = ""Trung Quốc""
match (e)-[:y_nghia]-(d)
return d",single - single,,,,,,2,
548,Quốc gia duy nhất ở Đông Nam Á không bị biến thành thuộc địa vào cuối thế kỷ XIX là ?,"Đông Nam Á | cuối thế kỷ XIX
dia_diem | thoi_gian",,,QuanPV,FALSE,"match (e:Event)-[:(dien_ra_o|thuoc)*]-(a) where a.name = ""Đông Nam Á""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) where b.name = ""thế kỉ XIX""
match (e)-[:mo_ta]-(c)
return c",single - single,,,,,,,
551,"Đến giữa thế kỉ XIX, Indonesia trở thành thuộc địa của nước nào ?","giữa thế kỉ XIX | Indonesia
thoi_gian | dia_diem",,,QuanPV,TRUE,"match (e:Event)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(a) where a.name = ""giữa thế kỉ XIX""
match (e)-[:doi_tuong_bi_chiem]-(b) where b.name = ""Indonesia""
match (e)-[:doi_tuong_xam_chiem|doi_tuong_chiem]-(c)
return c",single - single,,,,,,6,
553,"Đến cuối thế kỉ XIX, Việt Nam, Lào, Campuchia là thuộc địa của nước nào ?","cuối thế kỉ XIX | Việt Nam | Lào | Campuchia
thoi_gian | dia_diem | dia_diem | dia_diem",,,QuanPV,TRUE,"match (e:Event)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(a) where a.name = ""cuối thế kỉ XIX""
match (e)-[:doi_tuong_bi_chiem]-(b) where b.name = ""Việt Nam""
match (e)-[:doi_tuong_bi_chiem]-(c) where c.name = ""Lào""
match (e)-[:doi_tuong_bi_chiem]-(d) where d.name = ""Campuchia""
match (e)-[:doi_tuong_xam_chiem|doi_tuong_chiem]-(f)
return f",single - single,,,,,,6,
555,Khởi nghĩa Pu-côm-bô (1866-1867) là biểu tượng của sự đoàn kết chiến đấu giữa nhân dân 2 nước,"Khởi nghĩa Pu-côm-bô | 1866 | 1867
tran_chien | thoi_gian | thoi_gian",,,QuanPV,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Khởi nghĩa Pu-côm-bô""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau]-(b) where b.name = ""1866""
match (e)-[:dien_ra_vao|thoi_gian_ket_thuc]-(c) where c.name = ""1867""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(d)
return d",single - single,,,,,,1,
556,Quốc gia nào tuyên bố độc lập sớm nhất ở Đông Nam Á sau Chiến tranh thế giới thứ hai (1945) ?,"Đông Nam Á | Chiến tranh thế giới thứ hai (1945)
dia_diem | thoi_gian",,,LongLPH,FALSE,"
match (e:TuyenBoDocLap)-[:doi_tuong_tuyen_bo]-(a:QuocGia)
match (a)-[:(thuoc)*]-(b) where b.name=""Đông Nam Á""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(c) where c.name = ""Chiến tranh thế giới thứ hai (1945)""
return a",single - single,,,,,,2,
557,"Năm 1945, ba nước ở Đông Nam Á lần lượt tuyên bố độc lập là ?","Năm 1945 | Đông Nam Á
thoi_gian | dia_diem",,,LongLPH,FALSE,"match (e:TuyenBoDocLap)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(a) where a.name = ""Năm 1945""
match (e)-[:doi_tuong_tuyen_bo]-
match (b)-[:(thuoc)*]-(b) where b.name=""Đông Nam Á""
return b",single - single,,,,,,2,
575,Thắng lợi nào sau đây dẫn đến sự ra đời của Nhà nước xã hội chủ nghĩa đầu tiên trên thế giới?,"Nhà nước xã hội chủ nghĩa đầu tiên trên thế giới
to_chuc",,,QuanPV,TRUE,"match (e:Event)-[:NextEvent|Result|Causal]-(e1) where (e)-[:NextEvent|Result]->(e1) or (e)<-[:Causal]-(e1)
match (e1)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Nhà nước xã hội chủ nghĩa đầu tiên trên thế giới""
match (e)-[:ten_goi]-(b)
return b",multi - single,,,,,,1,
594,"Khi mới thành lập, Liên bang Cộng hòa xã hội chủ nghĩa Xô viết gồm 4 nước Cộng hòa là
","Liên bang Cộng hòa xã hội chủ nghĩa Xô viết
to_chuc",,,QuanPV,TRUE,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Liên bang Cộng hòa xã hội chủ nghĩa Xô viết""
match (e)-[:thanh_lap_boi]-(b)
return b",single - single,,,,,,14,
661,Khởi nghĩa của Hai Bà Trưng diễn ra năm nào ở đâu,"Hai Bà Trưng
nhan_vat",,,NgocLD,TRUE,"match (e:Event)-[:doi_tuong_lanh_dao]-(a) where a.name = ""Hai Bà Trưng""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b)
return b",single - single,,,,,,1,
672,Hãy nêu diễn biến phong trào Bãi Sậy,"phong trào Bãi Sậy
tran_chien",,,NgocLD,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""phong trào Bãi Sậy"" 
match (e)-[:SubEvent|mo_ta]->(e1)
match path=(e1)-[:(NextEvent|Causal|Result|SubEvent)*]-()
with nodes(path) as l
match path = (x)-[*0..1]-(y:Entity) where x in l
return path",multi - multi,,,,,,8,
687,Phong trào Mặt trận Nhân dân chống phát xít và nguy cơ chiến tranh diễn ra như thế nào?,"Phong trào Mặt trận Nhân dân chống phát xít và nguy cơ chiến tranh
tran_chien",,,QuanPV,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name=""Phong trào Mặt trận Nhân dân chống phát xít và nguy cơ chiến tranh""
match (e)-[:SubEvent|mo_ta]->(e1)
match path=(e1)-[:(NextEvent|Causal|Result|SubEvent)*]-()
with nodes(path) as l
match path = (x)-[*0..1]-(y:Entity) where x in l
return path",multi - multi,,,,,,8,
688,Nhà Hồ ra đời năm nào?,"Nhà Hồ
to_chuc",,,NgocLD,TRUE,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Nhà Hồ""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b)
return b",single - single,,,,,,24,
688-1,Ai là người thành lập nhà Hồ,"nhà Hồ
to_chuc",,,,TRUE,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""nhà Hồ""
match (e)-[:thanh_lap_boi]-(b)
return b",single - single,,,,,,14,
700,Phong trào cách mạng 1930 - 1931 ở Việt Nam diễn ra trong bối cảnh như nào ạ!!.Em cảm ơn,"Phong trào cách mạng 1930 - 1931 | Việt Nam
tran_chien | dia_diem",,,HungTX,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Phong trào cách mạng 1930 - 1931""
match (e)-[dien_ra_o]-(b) where b.name = ""Việt Nam""
match (e)-[:Causal|nguyen_nhan|boi_canh]->(e1)
match path=(e1)-[:(Causal|NextEvent)*0..]-(b) where (b)<-[:Causal*0..]-() and (b)-[:NextEvent*0..]->()
with nodes(path) as l
match path=(x)-[*0..1]-(y:Entity) where x in l
return path",multi - multi,,,,,,6,
704,Bối cảnh ra đời của 3 tổ chức cộng sản 1929,"tổ chức cộng sản | 1929
to_chuc | thoi_gian",,,,TRUE,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name=""tổ chức cộng sản""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) where b.name  = ""1929""
match (e)-[:Causal|nguyen_nhan|boi_canh]->(e1)
match path=(e1)-[:(Causal|NextEvent)*0..]-(c) where (c)<-[:Causal*0..]-() and (c)-[:NextEvent*0..]->()
with nodes(path) as l
match path=(x)-[*0..1]-(y:Entity) where x in l
return path",multi - multi,,,,,,2,
724,Ai là thủ phạm trong vụ ám sát thái tử Đế Quốc Áo - Hung dẫn đến cuộc thế chiến thứ nhất ?,"thái tử Đế Quốc Áo - Hung |  cuộc thế chiến thứ nhất
nhan_vat | tran_chien",,,QuanPV,TRUE,"match (e:Giet)-[:doi_tuong_bi_giet]-(a) where a.name = ""thái tử Đế Quốc Áo - Hung""
match (e)-[:NextEvent|Result|Causal]-(e1) where (e)-[:NextEvent|Result]->(e1) or (e)<-[:Causal]-(e1)
match (e1)-[:ten_goi]-(b) where b.name=""cuộc thế chiến thứ nhất""
match (e)-[:doi_tuong_thuc_hien]-(c)
return c",multi - single,,,,,,1,
774,"Sau khi được thành lập, chính quyền Xô viết ở Nga đã ban hành","chính quyền Xô viết | Nga
to_chuc | dia_diem",,,QuanPV,TRUE,"match (e:ThanhLap)-[:NextEvent|Result|Causal]-(e1) where (e)-[:NextEvent|Result]->(e1) or (e)<-[:Causal]-(e1)
match (e1)-[:doi_tuong_ban_hanh]-(a) where a.name=""chính quyền Xô viết""
match (e1)-[:(dien_ra_o|thuoc)*]-(b) where b.name=""Nga""
match (e1)-[:ban_hanh]-(c)
return c",multi - single,,,,,,1,
877,"Nước Cộng hòa Nhân dân Trung Hoa được thành lập vào thời gian nào? 
","Nước Cộng hòa Nhân dân Trung Hoa
dia_diem",,,QuanPV,TRUE,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Nước Cộng hòa Nhân dân Trung Hoa""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b)
return b",single - single,,,,,,24,
884,Nhóm năm nước sáng lập ASEAN gồm những quốc gia nào?,"ASEAN
to_chuc",,,LongLPH,TRUE,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""ASEAN""
match (e)-[:thanh_lap_boi]-(b)
return b",single - single,,,,,,14,
885,Hiệp hội các quôc gia Đông Nam Á thành lập vào thời gian nào?,"Hiệp hội các quôc gia Đông Nam Á
to_chuc",,,LongLPH,TRUE,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Hiệp hội các quôc gia Đông Nam Á""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b)
return b",single - single,,,,,,24,
897,Hội nghị thành lập ASEAN diễn ra ở đâu?,"ASEAN
to_chuc",,,,TRUE,"match (e:DienRaCuocHop)-[:NextEvent|Result|Causal]-(e1) where (e)-[:NextEvent|Result]->(e1) or (e)<-[:Causal]-(e1)
match (e1)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name=""ASEAN""
match (e)-[:(dien_ra_o|thuoc)*]-(b)
return b",single - single,,,,,,7,
898,"Ngày 23 – 8 – 1945, nhân dân Lào đã nổi dậy khởi nghĩa giành chính quyền từ trong tay của ","Ngày 23 – 8 – 1945 | Lào
thoi_gian | dia_diem",,,LongLPH,TRUE,"match (e:Event)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(a) where a.name = ""Ngày 23 – 8 – 1945"" 
match (e)-[:(dien_ra_o|thuoc)*]-(b) where b.name = ""Lào"" 
match (e)-[:doi_tuong_bi_tan_cong]-(c) 
return c",single - single,,,,,,1,
899,"Đại hội lần thứ XIII của Đảng Cộng sản Trung Quốc họp vào thời gian nào? 
","Đại hội lần thứ XIII | Đảng Cộng sản Trung Quốc
cuoc_hop | to_chuc",,,LongLPH,TRUE,"match (e:DienRaCuocHop)-[:ten_goi]-(a) where a.name = ""Đại hội lần thứ XIII""
match (e)-[:doi_tuong_chu_tri]-(b) where b.name = ""Đảng Cộng sản Trung Quốc""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(c)
return c",single - single,,,,,,1,
912,"Sự kiện nào dưới đây diễn ra trên đất nước Cuba ngày 1/1/1959? 
","Cuba | ngày 1/1/1959
dia_diem | thoi_gian",,,LongLPH,TRUE,"match (e:Event)-[:(dien_ra_o|thuoc)*]-(a) where a.name = ""Cuba""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) where b.name = ""ngày 1/1/1959""
match path = (e)-[*0..1]-(y:Entity)
return path",single - multi,,,,,,3,
916,"Sau Chiến tranh thế giới thứ hai, cuộc đấu tranh giành độc lập của nhân dân Ấn Độ diễn ra mạnh mẽ dưới sự lãnh đạo của ai?","Chiến tranh thế giới thứ hai | Ấn Độ
tran_chien | dia_diem",,,LongLPH,FALSE,"match (e:Event)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(a) where a.name=""Chiến tranh thế giới thứ hai""
match (e)-[:(dien_ra_o|thuoc)*]-(b) where b.name=""Ấn Độ""
match (e)-[:doi_tuong_lanh_dao]-(c)
return c",single - single,,,,,,1,
984,Nhà nước Cộng hòa Liên bang Đức được hình thành như thế nào?,"Nhà nước Cộng hòa Liên bang Đức
to_chuc",,,LongLPH,TRUE,"match (e:Event)-[:NextEvent|Result|Causal]-(e1) where (e)-[:NextEvent|Result]->(e1) or (e)<-[:Causal]-(e1)
match (e1)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name=""Nhà nước Cộng hòa Liên bang Đức""
match path=(e)-[*0..1]-(y:Entity)
return path",multi - multi,,,,,,2,
984-1,Cộng hòa dân chủ Đức được hình thành như thế nào?,"Cộng hòa dân chủ Đức
to_chuc",,,LongLPH,TRUE,"match (e:Event)-[:NextEvent|Result|Causal]-(e1) where (e)-[:NextEvent|Result]->(e1) or (e)<-[:Causal]-(e1)
match (e1)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name=""Cộng hòa dân chủ Đức""
match path=(e)-[*0..1]-(y:Entity)
return path",multi - multi,,,,,,2,
988,Những quyết định của Hội nghị Ianta (2/1945) có ảnh hưởng như thế nào đến tình hình thế giới sau Chiến tranh thế giới thứ hai?,"Hội nghị Ianta | 2/1945 | Chiến tranh thế giới thứ hai
cuoc_hop | thoi_gian | thoi_gian",,,LongLPH,FALSE,"match (a)-[:ten_goi]-(e:Event:DienRaCuocHop)-[:y_nghia]-(b)
where toLower(a.name) = ""hội nghị ianta""
return b
",,,,,,,,
992,Cách mạng tháng Mười Nga diễn ra ở đâu,"Cách mạng tháng Mười Nga
tran_chien",,,QuanPV,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Cách mạng tháng Mười Nga""
match (e)-[:(dien_ra_o|thuoc)*]-(b)
return b",single - single,,,,,,11,
1100,"Kế hoạch 5 năm lần thứ nhất của Trung Quốc tiến hành trong khoảng thời gian nào?
","Kế hoạch 5 năm lần thứ nhất | Trung Quốc
chinh_sach | dia_diem",,,HungTX,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Kế hoạch 5 năm lần thứ nhất""
match (e)-[:doi_tuong_thuc_hien]-(b) where b.name = ""Trung Quốc""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(c) 
return c",single - single,,,,,,1,
1102,Hãy nêu những quyết định quan trọng của hội nghị Ianta?,"hội nghị Ianta
cuoc_hop",,,LongLPH,TRUE,"match (e:DienRaCuocHop)-[:ten_goi]-(a) where a.name = ""hội nghị Ianta""
match (e)-[:mo_ta]-(b)
return b",single - single,,,,,,1,
1104,Hội nghị Ianta (1945) có sự tham gia của các nước nào?,"Hội nghị Ianta | 1945
cuoc_hop | thoi_gian",,,LongLPH,TRUE,"match (e:DienRaCuocHop)-[:ten_goi]-(a) where a.name = ""Hội nghị Ianta""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) where b.name = ""1945""
match (e)-[:doi_tuong_tham_gia|doi_tuong_tan_cong]-(c)
return c",single - single,,,,,,1,
1105,Diễn biến chiến dịch biên giới thu đông năm 1950,"chiến dịch biên giới thu đông | năm 1950
tran_chien | thoi_gian",,,HungTX,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name=""chiến dịch biên giới thu đông""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) where b.name=""năm 1950""
match (e)-[:SubEvent|mo_ta]->(e1)
match path=(e1)-[:(NextEvent|Causal|Result|SubEvent)*]-()
with nodes(path) as l
match path = (x)-[*0..1]-(y:Entity) where x in l
return path",multi - multi,,,,,,4,
1160,Ý nghĩa thắng lợi của chiến dịch lịch sử Điện Biên Phủ năm 1954 là gì?,"chiến dịch lịch sử Điện Biên Phủ | năm 1954
tran_chien | thoi_gian",,,HungTX,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name=""chiến dịch lịch sử Điện Biên Phủ""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) where b.name=""năm 1954""
match (e)-[:y_nghia]-(c) 
return c",single - single,,,,,,5,
1164,"Chiến thắng nào của quân dân ta ở Miền Nam trong cuộc kháng chiến chống Mĩ (1954 - 1975) buộc Mĩ tuyên bố """"Mĩ hóa"""" trở lại cuộc chiến tranh xâm lược Việt Nam?","Miền Nam | cuộc kháng chiến chống Mĩ | 1954 | 1975 | Mĩ | ""Mĩ hóa"" trở lại cuộc chiến tranh xâm lược Việt Nam",,,HungTX,FALSE,"match (e:Event)-[:(dien_ra_o|thuoc)*]-[a] where a.name=""Miền Nam""
match (e)-[:SubEvent]-(e1)
match (e1)-[:ten_goi]-(b) where b.name=""cuộc kháng chiến chống Mĩ""
match (e1)-[:dien_ra_vao|thoi_gian_bat_dau]-(c) where c.name=""1954""
match (e1)-[:dien_ra_vao|thoi_gian_ket_thuc]-(d) where c.name=""1975""
match (e2:Event)-[:doi_tuong_tuyen_bo]-(f) where f.name=""Mĩ ""
match (e2)-[:noi_dung_tuyen_bo]-(f) where f.name =  """"""Mĩ hóa"""" trở lại cuộc chiến tranh xâm lược Việt Nam""
match (e)-[:ten_goi]-(g)
return g
",,,,,,,,
1171,Phân tích sự kiện 14-7-1789 ở pháp,"14-7-1789 | pháp
thoi_gian | dia_diem",,,QuanPV,TRUE,"match (e:Event)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(a) where a.name =   ""14-7-1789""
match (e)-[:(dien_ra_o|thuoc)*]-(b) where b.name = ""pháp""
match (e)-[:SubEvent|mo_ta]->(e1)
match path=(e1)-[:(NextEvent|Causal|Result|SubEvent)*]-()
with nodes(path) as l
match path = (x)-[*0..1]-(y:Entity) where x in l
return path",multi - multi,,,,,,3,
1202,Chiến tranh thế giới thứ nhất bắt đầu vào năm nào?,"Chiến tranh thế giới thứ nhất
tran_chien",,,QuanPV,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Chiến tranh thế giới thứ nhất""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau]-(b)
return b",single - single,,,,,,8,
1210,Chiến dịch nào sau đây mở đầu cuộc Tổng tiến công và nổi dậy mùa Xuân năm 1975?,"cuộc Tổng tiến công và nổi dậy mùa Xuân | năm 1975
tran_chien | thoi_gian",,,HungTX,TRUE,"match (e:Event)-[:ten_goi]-(a)  where a.name = ""cuộc Tổng tiến công và nổi dậy mùa Xuân""
match (e)-[dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) where b.name = ""năm 1975""
match (e)-[:SubEvent]-(e1:TranChien|ChienDich) where not (e1)<-[:NextEvent]-() and not (e1)-[:Causal]->()
match path=(e1)-[*0..1]-(y:Entity)
return path",multi - multi,,,,,,1,
1218,"Chính đảng nào sau đây đã lãnh đạo Cách mạng tháng Mười Nga (1917) ?
","Cách mạng tháng Mười Nga | 1917
tran_chien | thoi_gian",,,QuanPV,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Cách mạng tháng Mười Nga""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) where b.name = ""1917""
match (e)-[:doi_tuong_lanh_dao]-(c)
return c",single - single,,,,,,3,
1276,"Sau Cách mạng tháng Mười Nga năm 1917, người đứng đầu Chính quyền Xô viết là
","Cách mạng tháng Mười Nga | 1917 | Chính quyền Xô viết
tran_chien | thoi_gian | to_chuc",,,QuanPV,FALSE,"match (e:Event)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Chính quyền Xô viết""
match (e)-[:thanh_lap_boi]-(b)
return b",single - single,"Cypher Query | Entity: Cách mạng tháng Mười Nga
Cypher Query | Entity: 1917
",,,,,,
1317,Trình bày nguyên nhân của Cách mạng Tân Hợi ở Trung Quốc (1911). ,"Cách mạng Tân Hợi | Trung Quốc | 1911
tran_chien | dia_diem | thoi_gian",,,QuanPV,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Cách mạng Tân Hợi""
match (e)-[:(dien_ra_o|thuoc)*]-(b) where b.name = ""Trung Quốc""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(c) where c.name = ""1911""
match (e)-[:Causal|nguyen_nhan|boi_canh]->(e1)
match path=(e1)-[:(Causal|NextEvent)*0..]-(b) where (b)<-[:Causal*0..]-() and (b)-[:NextEvent*0..]->()
with nodes(path) as l
match path=(x)-[*0..1]-(y:Entity) where x in l
return path",multi - multi,,,,,,3,
1317,Trình bày diễn biến của Cách mạng Tân Hợi ở Trung Quốc (1911). ,"Cách mạng Tân Hợi | Trung Quốc | 1911
tran_chien | dia_diem | thoi_gian",,,QuanPV,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Cách mạng Tân Hợi""
match (e)-[:(dien_ra_o|thuoc)*]-(b) where b.name = ""Trung Quốc""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(c) where c.name = ""1911""
match (e)-[:SubEvent|mo_ta]->(e1)
match path=(e1)-[:(NextEvent|Causal|Result|SubEvent)*]-()
with nodes(path) as l
match path = (x)-[*0..1]-(y:Entity) where x in l
return path",multi - multi,,,,,,1,
1317,Trình bày kết quả của Cách mạng Tân Hợi ở Trung Quốc (1911). ,"Cách mạng Tân Hợi | Trung Quốc | 1911
tran_chien | dia_diem | thoi_gian",,,QuanPV,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name =  ""Cách mạng Tân Hợi""
match (e)-[:(dien_ra_o|thuoc)*]-(b) where b.name =  ""Trung Quốc""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(c) where c.name = ""1911""
match (e)-[:Result|ket_qua]->(e1)
match path=(e1)-[:NextEvent*0..]->()
with nodes(path) as l 
match path=(x)-[*0..1]-(y:Entity) where x in l
return path",multi - multi,,,,,,2,
1317,Trình bày ý nghĩa của Cách mạng Tân Hợi ở Trung Quốc (1911).,"Cách mạng Tân Hợi | Trung Quốc | 1911
tran_chien | dia_diem | thoi_gian",,,QuanPV,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name =  ""Cách mạng Tân Hợi""
match (e)-[:(dien_ra_o|thuoc)*]-(b) where b.name =  ""Trung Quốc""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(c) where c.name = ""1911""
match (e)-[:y_nghia]-(d)
return d",single - single,,,,,,2,
519,ý nghĩa của Cách mạng Tân Hợi  ở Trung Quốc?,"Cách mạng Tân Hợi | Trung Quốc
tran_chien | dia_diem",,,QuanPV,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Cách mạng Tân Hợi""
match (e)-[:(dien_ra_o|thuoc)*]-(b) where b.name = ""Trung Quốc""
match (e)-[:y_nghia]-(c)
return c",single - single,,,,,,2,
1324,phân tích ý nghĩa của chiến dịch Huế Đà Nẵng,"chiến dịch Huế Đà Nẵng
tran_chien",,,HungTX,TRUE,"match (e:Event)-[:ten_goi]-(a) where a.name = ""chiến dịch Huế Đà Nẵng""
match (e)-[:y_nghia]-(b)
return b",single - single,,,,,,12,
1338,"Tháng 12-1975, nhà nước nào được thành lập và đi lên xây dựng chủ nghĩa xã hội?","12 - 1975
thoi_gian",,,LongLPH,FALSE,"match (e:ThanhLap)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(a) where a.name = ""12 - 1975""
match (e)-[:doi_tuong_duoc_thanh_lap]-(b)
return b",single - single,,,,,,,
1338-1,"Tháng 12-1975, nhà nước nào được thành lập?","Tháng 12-1975
thoi_gian",,,LongLPH,TRUE,"match (e:ThanhLap)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(a) where a.name = ""Tháng 12-1975""
match (e)-[:doi_tuong_duoc_thanh_lap]-(b)
return b",single - single,,,,,,24,
